"county","year","latitude","longitude","rate","county_filename"
"Aleutians East Borough, AK",1992,54.9278332,-162.94728,1.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",1993,54.9278332,-162.94728,2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",1994,54.9278332,-162.94728,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",1995,54.9278332,-162.94728,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",1996,54.9278332,-162.94728,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",1997,54.9278332,-162.94728,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",1998,54.9278332,-162.94728,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",1999,54.9278332,-162.94728,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2000,54.9278332,-162.94728,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2001,54.9278332,-162.94728,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2002,54.9278332,-162.94728,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2003,54.9278332,-162.94728,9.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2004,54.9278332,-162.94728,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2005,54.9278332,-162.94728,9.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2006,54.9278332,-162.94728,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2007,54.9278332,-162.94728,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2008,54.9278332,-162.94728,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2009,54.9278332,-162.94728,9.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2010,54.9278332,-162.94728,10.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians East Borough, AK",2011,54.9278332,-162.94728,11.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_East_Borough_AK.csv"
"Aleutians West Census Area, AK",1992,54.0549992857143,-170.418671428571,1.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_West_Census_Area_AK.csv"
"Aleutians West Census Area, AK",1993,54.0549992857143,-170.418671428571,1.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_West_Census_Area_AK.csv"
"Aleutians West Census Area, AK",1994,54.0549992857143,-170.418671428571,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_West_Census_Area_AK.csv"
"Aleutians West Census Area, AK",1995,54.0549992857143,-170.418671428571,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_West_Census_Area_AK.csv"
"Aleutians West Census Area, AK",1996,54.0549992857143,-170.418671428571,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aleutians_West_Census_Area_AK.csv"
