"county","year","latitude","longitude","rate","county_filename"
"Arkansas County, AR",1992,34.3350988,-91.341406,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",1993,34.3350988,-91.341406,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",1994,34.3350988,-91.341406,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",1995,34.3350988,-91.341406,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",1996,34.3350988,-91.341406,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",1997,34.3350988,-91.341406,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",1998,34.3350988,-91.341406,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",1999,34.3350988,-91.341406,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2000,34.3350988,-91.341406,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2001,34.3350988,-91.341406,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2002,34.3350988,-91.341406,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2003,34.3350988,-91.341406,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2004,34.3350988,-91.341406,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2005,34.3350988,-91.341406,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2006,34.3350988,-91.341406,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2007,34.3350988,-91.341406,8.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2008,34.3350988,-91.341406,9.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2009,34.3350988,-91.341406,15.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2010,34.3350988,-91.341406,16.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Arkansas County, AR",2011,34.3350988,-91.341406,10.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Arkansas_County_AR.csv"
"Ashley County, AR",1992,33.2110814285714,-91.6771214285714,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",1993,33.2110814285714,-91.6771214285714,7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",1994,33.2110814285714,-91.6771214285714,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",1995,33.2110814285714,-91.6771214285714,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",1996,33.2110814285714,-91.6771214285714,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",1997,33.2110814285714,-91.6771214285714,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",1998,33.2110814285714,-91.6771214285714,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",1999,33.2110814285714,-91.6771214285714,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2000,33.2110814285714,-91.6771214285714,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2001,33.2110814285714,-91.6771214285714,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2002,33.2110814285714,-91.6771214285714,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2003,33.2110814285714,-91.6771214285714,9.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2004,33.2110814285714,-91.6771214285714,9.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2005,33.2110814285714,-91.6771214285714,8.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2006,33.2110814285714,-91.6771214285714,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2007,33.2110814285714,-91.6771214285714,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2008,33.2110814285714,-91.6771214285714,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2009,33.2110814285714,-91.6771214285714,10.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2010,33.2110814285714,-91.6771214285714,10.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Ashley County, AR",2011,33.2110814285714,-91.6771214285714,11.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ashley_County_AR.csv"
"Baxter County, AR",1992,36.3113524615385,-92.3267392307692,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",1993,36.3113524615385,-92.3267392307692,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",1994,36.3113524615385,-92.3267392307692,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",1995,36.3113524615385,-92.3267392307692,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",1996,36.3113524615385,-92.3267392307692,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",1997,36.3113524615385,-92.3267392307692,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",1998,36.3113524615385,-92.3267392307692,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",1999,36.3113524615385,-92.3267392307692,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2000,36.3113524615385,-92.3267392307692,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2001,36.3113524615385,-92.3267392307692,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2002,36.3113524615385,-92.3267392307692,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2003,36.3113524615385,-92.3267392307692,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2004,36.3113524615385,-92.3267392307692,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2005,36.3113524615385,-92.3267392307692,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2006,36.3113524615385,-92.3267392307692,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2007,36.3113524615385,-92.3267392307692,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2008,36.3113524615385,-92.3267392307692,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2009,36.3113524615385,-92.3267392307692,9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2010,36.3113524615385,-92.3267392307692,8.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Baxter County, AR",2011,36.3113524615385,-92.3267392307692,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baxter_County_AR.csv"
"Benton County, AR",1992,36.33711135,-94.2594275,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",1993,36.33711135,-94.2594275,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",1994,36.33711135,-94.2594275,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",1995,36.33711135,-94.2594275,2.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",1996,36.33711135,-94.2594275,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",1997,36.33711135,-94.2594275,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",1998,36.33711135,-94.2594275,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",1999,36.33711135,-94.2594275,2.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2000,36.33711135,-94.2594275,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2001,36.33711135,-94.2594275,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2002,36.33711135,-94.2594275,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2003,36.33711135,-94.2594275,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2004,36.33711135,-94.2594275,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2005,36.33711135,-94.2594275,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2006,36.33711135,-94.2594275,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2007,36.33711135,-94.2594275,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
"Benton County, AR",2008,36.33711135,-94.2594275,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_AR.csv"
