"county","year","latitude","longitude","rate","county_filename"
"Apache County, AZ",1992,35.4580571944444,-109.528843333333,15.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",1993,35.4580571944444,-109.528843333333,17.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",1994,35.4580571944444,-109.528843333333,17.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",1995,35.4580571944444,-109.528843333333,17.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",1996,35.4580571944444,-109.528843333333,19.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",1997,35.4580571944444,-109.528843333333,17.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",1998,35.4580571944444,-109.528843333333,16.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",1999,35.4580571944444,-109.528843333333,14.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2000,35.4580571944444,-109.528843333333,9.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2001,35.4580571944444,-109.528843333333,9.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2002,35.4580571944444,-109.528843333333,10.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2003,35.4580571944444,-109.528843333333,11.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2004,35.4580571944444,-109.528843333333,11.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2005,35.4580571944444,-109.528843333333,10.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2006,35.4580571944444,-109.528843333333,9.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2007,35.4580571944444,-109.528843333333,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2008,35.4580571944444,-109.528843333333,11.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2009,35.4580571944444,-109.528843333333,15.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2010,35.4580571944444,-109.528843333333,17.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Apache County, AZ",2011,35.4580571944444,-109.528843333333,18.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Apache_County_AZ.csv"
"Cochise County, AZ",1992,31.7436726521739,-109.925949086957,9.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",1993,31.7436726521739,-109.925949086957,9.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",1994,31.7436726521739,-109.925949086957,10.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",1995,31.7436726521739,-109.925949086957,9.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",1996,31.7436726521739,-109.925949086957,9.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",1997,31.7436726521739,-109.925949086957,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",1998,31.7436726521739,-109.925949086957,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",1999,31.7436726521739,-109.925949086957,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2000,31.7436726521739,-109.925949086957,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2001,31.7436726521739,-109.925949086957,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2002,31.7436726521739,-109.925949086957,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2003,31.7436726521739,-109.925949086957,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2004,31.7436726521739,-109.925949086957,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2005,31.7436726521739,-109.925949086957,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2006,31.7436726521739,-109.925949086957,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2007,31.7436726521739,-109.925949086957,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2008,31.7436726521739,-109.925949086957,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2009,31.7436726521739,-109.925949086957,7.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2010,31.7436726521739,-109.925949086957,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Cochise County, AZ",2011,31.7436726521739,-109.925949086957,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cochise_County_AZ.csv"
"Coconino County, AZ",1992,35.6895918275862,-111.628932413793,9.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",1993,35.6895918275862,-111.628932413793,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",1994,35.6895918275862,-111.628932413793,8.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",1995,35.6895918275862,-111.628932413793,8.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",1996,35.6895918275862,-111.628932413793,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",1997,35.6895918275862,-111.628932413793,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",1998,35.6895918275862,-111.628932413793,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",1999,35.6895918275862,-111.628932413793,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",2000,35.6895918275862,-111.628932413793,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",2001,35.6895918275862,-111.628932413793,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",2002,35.6895918275862,-111.628932413793,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",2003,35.6895918275862,-111.628932413793,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",2004,35.6895918275862,-111.628932413793,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",2005,35.6895918275862,-111.628932413793,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
"Coconino County, AZ",2006,35.6895918275862,-111.628932413793,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Coconino_County_AZ.csv"
