"county","year","latitude","longitude","rate","county_filename"
"District of Columbia, DC",1992,38.9086776774194,-77.0210321290323,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",1993,38.9086776774194,-77.0210321290323,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",1994,38.9086776774194,-77.0210321290323,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",1995,38.9086776774194,-77.0210321290323,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",1996,38.9086776774194,-77.0210321290323,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",1997,38.9086776774194,-77.0210321290323,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",1998,38.9086776774194,-77.0210321290323,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",1999,38.9086776774194,-77.0210321290323,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2000,38.9086776774194,-77.0210321290323,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2001,38.9086776774194,-77.0210321290323,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2002,38.9086776774194,-77.0210321290323,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2003,38.9086776774194,-77.0210321290323,7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2004,38.9086776774194,-77.0210321290323,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2005,38.9086776774194,-77.0210321290323,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2006,38.9086776774194,-77.0210321290323,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2007,38.9086776774194,-77.0210321290323,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2008,38.9086776774194,-77.0210321290323,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2009,38.9086776774194,-77.0210321290323,9.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2010,38.9086776774194,-77.0210321290323,10.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
"District of Columbia, DC",2011,38.9086776774194,-77.0210321290323,10.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/District_of_Columbia_DC.csv"
