"county","year","latitude","longitude","rate","county_filename"
"Appling County, GA",1992,31.702677,-82.276432,12.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",1993,31.702677,-82.276432,11.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",1994,31.702677,-82.276432,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",1995,31.702677,-82.276432,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",1996,31.702677,-82.276432,9.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",1997,31.702677,-82.276432,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",1998,31.702677,-82.276432,10.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",1999,31.702677,-82.276432,9.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2000,31.702677,-82.276432,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2001,31.702677,-82.276432,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2002,31.702677,-82.276432,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2003,31.702677,-82.276432,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2004,31.702677,-82.276432,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2005,31.702677,-82.276432,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2006,31.702677,-82.276432,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2007,31.702677,-82.276432,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2008,31.702677,-82.276432,7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2009,31.702677,-82.276432,10,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2010,31.702677,-82.276432,10.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Appling County, GA",2011,31.702677,-82.276432,11,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Appling_County_GA.csv"
"Atkinson County, GA",1992,31.2565278,-82.850866,9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atkinson_County_GA.csv"
"Atkinson County, GA",1993,31.2565278,-82.850866,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atkinson_County_GA.csv"
"Atkinson County, GA",1994,31.2565278,-82.850866,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atkinson_County_GA.csv"
"Atkinson County, GA",1995,31.2565278,-82.850866,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atkinson_County_GA.csv"
"Atkinson County, GA",1996,31.2565278,-82.850866,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atkinson_County_GA.csv"
"Atkinson County, GA",1997,31.2565278,-82.850866,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atkinson_County_GA.csv"
"Atkinson County, GA",1998,31.2565278,-82.850866,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atkinson_County_GA.csv"
