"county","year","latitude","longitude","rate","county_filename"
"Hawaii County, HI",1992,19.7069831071429,-155.431692464286,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",1993,19.7069831071429,-155.431692464286,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",1994,19.7069831071429,-155.431692464286,9.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",1995,19.7069831071429,-155.431692464286,9.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",1996,19.7069831071429,-155.431692464286,9.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",1997,19.7069831071429,-155.431692464286,9.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",1998,19.7069831071429,-155.431692464286,8.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",1999,19.7069831071429,-155.431692464286,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2000,19.7069831071429,-155.431692464286,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2001,19.7069831071429,-155.431692464286,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2002,19.7069831071429,-155.431692464286,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2003,19.7069831071429,-155.431692464286,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2004,19.7069831071429,-155.431692464286,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2005,19.7069831071429,-155.431692464286,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2006,19.7069831071429,-155.431692464286,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2007,19.7069831071429,-155.431692464286,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2008,19.7069831071429,-155.431692464286,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2009,19.7069831071429,-155.431692464286,9.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2010,19.7069831071429,-155.431692464286,10,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Hawaii County, HI",2011,19.7069831071429,-155.431692464286,9.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Hawaii_County_HI.csv"
"Honolulu County/city, HI",1992,21.8223234705882,-159.101720588235,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
"Honolulu County/city, HI",1993,21.8223234705882,-159.101720588235,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
"Honolulu County/city, HI",1994,21.8223234705882,-159.101720588235,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
"Honolulu County/city, HI",1995,21.8223234705882,-159.101720588235,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
"Honolulu County/city, HI",1996,21.8223234705882,-159.101720588235,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
"Honolulu County/city, HI",1997,21.8223234705882,-159.101720588235,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
"Honolulu County/city, HI",1998,21.8223234705882,-159.101720588235,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
"Honolulu County/city, HI",1999,21.8223234705882,-159.101720588235,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Honolulu_County_city_HI.csv"
