"county","year","latitude","longitude","rate","county_filename"
"Ada County, ID",1992,43.6024219411765,-116.320337058824,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",1993,43.6024219411765,-116.320337058824,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",1994,43.6024219411765,-116.320337058824,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",1995,43.6024219411765,-116.320337058824,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",1996,43.6024219411765,-116.320337058824,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",1997,43.6024219411765,-116.320337058824,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",1998,43.6024219411765,-116.320337058824,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",1999,43.6024219411765,-116.320337058824,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2000,43.6024219411765,-116.320337058824,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2001,43.6024219411765,-116.320337058824,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2002,43.6024219411765,-116.320337058824,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2003,43.6024219411765,-116.320337058824,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2004,43.6024219411765,-116.320337058824,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2005,43.6024219411765,-116.320337058824,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2006,43.6024219411765,-116.320337058824,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2007,43.6024219411765,-116.320337058824,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2008,43.6024219411765,-116.320337058824,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2009,43.6024219411765,-116.320337058824,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2010,43.6024219411765,-116.320337058824,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Ada County, ID",2011,43.6024219411765,-116.320337058824,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ada_County_ID.csv"
"Adams County, ID",1992,44.784331,-116.374858,13.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",1993,44.784331,-116.374858,14.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",1994,44.784331,-116.374858,11.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",1995,44.784331,-116.374858,13.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",1996,44.784331,-116.374858,14.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",1997,44.784331,-116.374858,14.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",1998,44.784331,-116.374858,14.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",1999,44.784331,-116.374858,14.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2000,44.784331,-116.374858,9.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2001,44.784331,-116.374858,10.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2002,44.784331,-116.374858,11.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2003,44.784331,-116.374858,11.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2004,44.784331,-116.374858,11.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2005,44.784331,-116.374858,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2006,44.784331,-116.374858,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2007,44.784331,-116.374858,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2008,44.784331,-116.374858,10,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2009,44.784331,-116.374858,14,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2010,44.784331,-116.374858,16.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Adams County, ID",2011,44.784331,-116.374858,17.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ID.csv"
"Bannock County, ID",1992,42.6691686,-112.2476216,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",1993,42.6691686,-112.2476216,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",1994,42.6691686,-112.2476216,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",1995,42.6691686,-112.2476216,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",1996,42.6691686,-112.2476216,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",1997,42.6691686,-112.2476216,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",1998,42.6691686,-112.2476216,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",1999,42.6691686,-112.2476216,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2000,42.6691686,-112.2476216,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2001,42.6691686,-112.2476216,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2002,42.6691686,-112.2476216,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2003,42.6691686,-112.2476216,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2004,42.6691686,-112.2476216,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2005,42.6691686,-112.2476216,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2006,42.6691686,-112.2476216,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2007,42.6691686,-112.2476216,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2008,42.6691686,-112.2476216,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2009,42.6691686,-112.2476216,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2010,42.6691686,-112.2476216,7.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bannock County, ID",2011,42.6691686,-112.2476216,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bannock_County_ID.csv"
"Bear Lake County, ID",1992,42.2912018,-111.3565481,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",1993,42.2912018,-111.3565481,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",1994,42.2912018,-111.3565481,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",1995,42.2912018,-111.3565481,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",1996,42.2912018,-111.3565481,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",1997,42.2912018,-111.3565481,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",1998,42.2912018,-111.3565481,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",1999,42.2912018,-111.3565481,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2000,42.2912018,-111.3565481,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2001,42.2912018,-111.3565481,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2002,42.2912018,-111.3565481,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2003,42.2912018,-111.3565481,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2004,42.2912018,-111.3565481,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2005,42.2912018,-111.3565481,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2006,42.2912018,-111.3565481,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2007,42.2912018,-111.3565481,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2008,42.2912018,-111.3565481,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2009,42.2912018,-111.3565481,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2010,42.2912018,-111.3565481,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Bear Lake County, ID",2011,42.2912018,-111.3565481,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bear_Lake_County_ID.csv"
"Benewah County, ID",1992,47.2347547142857,-116.693124285714,11.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
"Benewah County, ID",1993,47.2347547142857,-116.693124285714,10.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
"Benewah County, ID",1994,47.2347547142857,-116.693124285714,9.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
"Benewah County, ID",1995,47.2347547142857,-116.693124285714,10.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
"Benewah County, ID",1996,47.2347547142857,-116.693124285714,11.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
"Benewah County, ID",1997,47.2347547142857,-116.693124285714,9.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
"Benewah County, ID",1998,47.2347547142857,-116.693124285714,11.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
"Benewah County, ID",1999,47.2347547142857,-116.693124285714,11.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benewah_County_ID.csv"
