"county","year","latitude","longitude","rate","county_filename"
"Adams County, IL",1992,40.0075378636364,-91.1653542272727,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",1993,40.0075378636364,-91.1653542272727,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",1994,40.0075378636364,-91.1653542272727,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",1995,40.0075378636364,-91.1653542272727,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",1996,40.0075378636364,-91.1653542272727,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",1997,40.0075378636364,-91.1653542272727,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",1998,40.0075378636364,-91.1653542272727,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",1999,40.0075378636364,-91.1653542272727,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",2000,40.0075378636364,-91.1653542272727,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",2001,40.0075378636364,-91.1653542272727,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",2002,40.0075378636364,-91.1653542272727,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",2003,40.0075378636364,-91.1653542272727,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",2004,40.0075378636364,-91.1653542272727,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",2005,40.0075378636364,-91.1653542272727,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
"Adams County, IL",2006,40.0075378636364,-91.1653542272727,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IL.csv"
