"county","year","latitude","longitude","rate","county_filename"
"Adams County, IN",1992,40.74667875,-84.9918425,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",1993,40.74667875,-84.9918425,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",1994,40.74667875,-84.9918425,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",1995,40.74667875,-84.9918425,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",1996,40.74667875,-84.9918425,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",1997,40.74667875,-84.9918425,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",1998,40.74667875,-84.9918425,2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",1999,40.74667875,-84.9918425,2.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2000,40.74667875,-84.9918425,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2001,40.74667875,-84.9918425,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2002,40.74667875,-84.9918425,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2003,40.74667875,-84.9918425,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2004,40.74667875,-84.9918425,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2005,40.74667875,-84.9918425,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2006,40.74667875,-84.9918425,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
"Adams County, IN",2007,40.74667875,-84.9918425,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_IN.csv"
