"county","year","latitude","longitude","rate","county_filename"
"Allen County, KS",1992,37.8873725,-95.277838,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",1993,37.8873725,-95.277838,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",1994,37.8873725,-95.277838,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",1995,37.8873725,-95.277838,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",1996,37.8873725,-95.277838,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",1997,37.8873725,-95.277838,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",1998,37.8873725,-95.277838,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",1999,37.8873725,-95.277838,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2000,37.8873725,-95.277838,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2001,37.8873725,-95.277838,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2002,37.8873725,-95.277838,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2003,37.8873725,-95.277838,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2004,37.8873725,-95.277838,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2005,37.8873725,-95.277838,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2006,37.8873725,-95.277838,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2007,37.8873725,-95.277838,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2008,37.8873725,-95.277838,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2009,37.8873725,-95.277838,8.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2010,37.8873725,-95.277838,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Allen County, KS",2011,37.8873725,-95.277838,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_County_KS.csv"
"Anderson County, KS",1992,38.2285487,-95.308464,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",1993,38.2285487,-95.308464,7.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",1994,38.2285487,-95.308464,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",1995,38.2285487,-95.308464,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",1996,38.2285487,-95.308464,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",1997,38.2285487,-95.308464,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",1998,38.2285487,-95.308464,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",1999,38.2285487,-95.308464,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2000,38.2285487,-95.308464,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2001,38.2285487,-95.308464,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2002,38.2285487,-95.308464,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2003,38.2285487,-95.308464,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2004,38.2285487,-95.308464,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2005,38.2285487,-95.308464,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2006,38.2285487,-95.308464,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2007,38.2285487,-95.308464,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2008,38.2285487,-95.308464,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2009,38.2285487,-95.308464,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2010,38.2285487,-95.308464,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Anderson County, KS",2011,38.2285487,-95.308464,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_KS.csv"
"Atchison County, KS",1992,39.5250128,-95.405762,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_KS.csv"
"Atchison County, KS",1993,39.5250128,-95.405762,7.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_KS.csv"
