"county","year","latitude","longitude","rate","county_filename"
"Acadia Parish, LA",1992,30.2814963333333,-92.4147946666667,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",1993,30.2814963333333,-92.4147946666667,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",1994,30.2814963333333,-92.4147946666667,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",1995,30.2814963333333,-92.4147946666667,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",1996,30.2814963333333,-92.4147946666667,7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",1997,30.2814963333333,-92.4147946666667,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",1998,30.2814963333333,-92.4147946666667,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",1999,30.2814963333333,-92.4147946666667,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2000,30.2814963333333,-92.4147946666667,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2001,30.2814963333333,-92.4147946666667,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2002,30.2814963333333,-92.4147946666667,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2003,30.2814963333333,-92.4147946666667,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2004,30.2814963333333,-92.4147946666667,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2005,30.2814963333333,-92.4147946666667,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2006,30.2814963333333,-92.4147946666667,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2007,30.2814963333333,-92.4147946666667,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2008,30.2814963333333,-92.4147946666667,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2009,30.2814963333333,-92.4147946666667,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2010,30.2814963333333,-92.4147946666667,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Acadia Parish, LA",2011,30.2814963333333,-92.4147946666667,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Acadia_Parish_LA.csv"
"Allen Parish, LA",1992,30.65902725,-92.886815,10.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",1993,30.65902725,-92.886815,10.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",1994,30.65902725,-92.886815,10.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",1995,30.65902725,-92.886815,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",1996,30.65902725,-92.886815,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",1997,30.65902725,-92.886815,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",1998,30.65902725,-92.886815,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",1999,30.65902725,-92.886815,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2000,30.65902725,-92.886815,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2001,30.65902725,-92.886815,7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2002,30.65902725,-92.886815,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2003,30.65902725,-92.886815,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2004,30.65902725,-92.886815,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2005,30.65902725,-92.886815,9.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2006,30.65902725,-92.886815,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2007,30.65902725,-92.886815,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2008,30.65902725,-92.886815,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2009,30.65902725,-92.886815,9.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2010,30.65902725,-92.886815,10.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Allen Parish, LA",2011,30.65902725,-92.886815,9.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allen_Parish_LA.csv"
"Ascension Parish, LA",1992,30.1973007142857,-90.92964,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",1993,30.1973007142857,-90.92964,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",1994,30.1973007142857,-90.92964,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",1995,30.1973007142857,-90.92964,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",1996,30.1973007142857,-90.92964,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",1997,30.1973007142857,-90.92964,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",1998,30.1973007142857,-90.92964,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",1999,30.1973007142857,-90.92964,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",2000,30.1973007142857,-90.92964,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
"Ascension Parish, LA",2001,30.1973007142857,-90.92964,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Ascension_Parish_LA.csv"
