"county","year","latitude","longitude","rate","county_filename"
"Barnstable County, MA",1992,41.71595544,-70.27997874,10.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",1993,41.71595544,-70.27997874,9.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",1994,41.71595544,-70.27997874,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",1995,41.71595544,-70.27997874,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",1996,41.71595544,-70.27997874,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",1997,41.71595544,-70.27997874,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",1998,41.71595544,-70.27997874,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",1999,41.71595544,-70.27997874,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2000,41.71595544,-70.27997874,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2001,41.71595544,-70.27997874,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2002,41.71595544,-70.27997874,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2003,41.71595544,-70.27997874,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2004,41.71595544,-70.27997874,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2005,41.71595544,-70.27997874,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2006,41.71595544,-70.27997874,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2007,41.71595544,-70.27997874,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2008,41.71595544,-70.27997874,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2009,41.71595544,-70.27997874,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2010,41.71595544,-70.27997874,9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Barnstable County, MA",2011,41.71595544,-70.27997874,8.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnstable_County_MA.csv"
"Berkshire County, MA",1992,42.3396370909091,-73.2180218181818,10.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Berkshire_County_MA.csv"
"Berkshire County, MA",1993,42.3396370909091,-73.2180218181818,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Berkshire_County_MA.csv"
"Berkshire County, MA",1994,42.3396370909091,-73.2180218181818,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Berkshire_County_MA.csv"
"Berkshire County, MA",1995,42.3396370909091,-73.2180218181818,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Berkshire_County_MA.csv"
"Berkshire County, MA",1996,42.3396370909091,-73.2180218181818,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Berkshire_County_MA.csv"
"Berkshire County, MA",1997,42.3396370909091,-73.2180218181818,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Berkshire_County_MA.csv"
"Berkshire County, MA",1998,42.3396370909091,-73.2180218181818,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Berkshire_County_MA.csv"
