"county","year","latitude","longitude","rate","county_filename"
"Allegany County, MD",1992,39.6106342666667,-78.837908,13.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",1993,39.6106342666667,-78.837908,11.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",1994,39.6106342666667,-78.837908,9.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",1995,39.6106342666667,-78.837908,9.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",1996,39.6106342666667,-78.837908,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",1997,39.6106342666667,-78.837908,9.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",1998,39.6106342666667,-78.837908,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",1999,39.6106342666667,-78.837908,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2000,39.6106342666667,-78.837908,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2001,39.6106342666667,-78.837908,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2002,39.6106342666667,-78.837908,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2003,39.6106342666667,-78.837908,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2004,39.6106342666667,-78.837908,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2005,39.6106342666667,-78.837908,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2006,39.6106342666667,-78.837908,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2007,39.6106342666667,-78.837908,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
"Allegany County, MD",2008,39.6106342666667,-78.837908,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegany_County_MD.csv"
