"county","year","latitude","longitude","rate","county_filename"
"Androscoggin County, ME",1992,44.1764812666667,-70.1964373333333,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",1993,44.1764812666667,-70.1964373333333,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",1994,44.1764812666667,-70.1964373333333,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",1995,44.1764812666667,-70.1964373333333,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",1996,44.1764812666667,-70.1964373333333,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",1997,44.1764812666667,-70.1964373333333,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",1998,44.1764812666667,-70.1964373333333,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",1999,44.1764812666667,-70.1964373333333,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2000,44.1764812666667,-70.1964373333333,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2001,44.1764812666667,-70.1964373333333,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2002,44.1764812666667,-70.1964373333333,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2003,44.1764812666667,-70.1964373333333,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2004,44.1764812666667,-70.1964373333333,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2005,44.1764812666667,-70.1964373333333,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2006,44.1764812666667,-70.1964373333333,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2007,44.1764812666667,-70.1964373333333,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2008,44.1764812666667,-70.1964373333333,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2009,44.1764812666667,-70.1964373333333,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2010,44.1764812666667,-70.1964373333333,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Androscoggin County, ME",2011,44.1764812666667,-70.1964373333333,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Androscoggin_County_ME.csv"
"Aroostook County, ME",1992,46.5561367272727,-68.2339260909091,10,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",1993,46.5561367272727,-68.2339260909091,9.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",1994,46.5561367272727,-68.2339260909091,10.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",1995,46.5561367272727,-68.2339260909091,10.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",1996,46.5561367272727,-68.2339260909091,9.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",1997,46.5561367272727,-68.2339260909091,8.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",1998,46.5561367272727,-68.2339260909091,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",1999,46.5561367272727,-68.2339260909091,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",2000,46.5561367272727,-68.2339260909091,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",2001,46.5561367272727,-68.2339260909091,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",2002,46.5561367272727,-68.2339260909091,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",2003,46.5561367272727,-68.2339260909091,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",2004,46.5561367272727,-68.2339260909091,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
"Aroostook County, ME",2005,46.5561367272727,-68.2339260909091,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Aroostook_County_ME.csv"
