"county","year","latitude","longitude","rate","county_filename"
"Adair County, MO",1992,40.1551798888889,-92.5771277777778,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",1993,40.1551798888889,-92.5771277777778,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",1994,40.1551798888889,-92.5771277777778,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",1995,40.1551798888889,-92.5771277777778,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",1996,40.1551798888889,-92.5771277777778,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",1997,40.1551798888889,-92.5771277777778,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",1998,40.1551798888889,-92.5771277777778,2.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",1999,40.1551798888889,-92.5771277777778,1.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2000,40.1551798888889,-92.5771277777778,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2001,40.1551798888889,-92.5771277777778,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2002,40.1551798888889,-92.5771277777778,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2003,40.1551798888889,-92.5771277777778,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2004,40.1551798888889,-92.5771277777778,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2005,40.1551798888889,-92.5771277777778,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2006,40.1551798888889,-92.5771277777778,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2007,40.1551798888889,-92.5771277777778,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2008,40.1551798888889,-92.5771277777778,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2009,40.1551798888889,-92.5771277777778,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2010,40.1551798888889,-92.5771277777778,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Adair County, MO",2011,40.1551798888889,-92.5771277777778,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adair_County_MO.csv"
"Andrew County, MO",1992,39.9795382666667,-94.7677486666667,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",1993,39.9795382666667,-94.7677486666667,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",1994,39.9795382666667,-94.7677486666667,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",1995,39.9795382666667,-94.7677486666667,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",1996,39.9795382666667,-94.7677486666667,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",1997,39.9795382666667,-94.7677486666667,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",1998,39.9795382666667,-94.7677486666667,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",1999,39.9795382666667,-94.7677486666667,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2000,39.9795382666667,-94.7677486666667,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2001,39.9795382666667,-94.7677486666667,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2002,39.9795382666667,-94.7677486666667,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2003,39.9795382666667,-94.7677486666667,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2004,39.9795382666667,-94.7677486666667,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2005,39.9795382666667,-94.7677486666667,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2006,39.9795382666667,-94.7677486666667,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2007,39.9795382666667,-94.7677486666667,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2008,39.9795382666667,-94.7677486666667,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2009,39.9795382666667,-94.7677486666667,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2010,39.9795382666667,-94.7677486666667,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Andrew County, MO",2011,39.9795382666667,-94.7677486666667,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Andrew_County_MO.csv"
"Atchison County, MO",1992,40.454261375,-95.3902,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",1993,40.454261375,-95.3902,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",1994,40.454261375,-95.3902,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",1995,40.454261375,-95.3902,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",1996,40.454261375,-95.3902,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",1997,40.454261375,-95.3902,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",1998,40.454261375,-95.3902,2.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",1999,40.454261375,-95.3902,2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2000,40.454261375,-95.3902,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2001,40.454261375,-95.3902,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2002,40.454261375,-95.3902,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2003,40.454261375,-95.3902,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2004,40.454261375,-95.3902,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2005,40.454261375,-95.3902,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2006,40.454261375,-95.3902,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2007,40.454261375,-95.3902,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2008,40.454261375,-95.3902,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2009,40.454261375,-95.3902,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2010,40.454261375,-95.3902,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Atchison County, MO",2011,40.454261375,-95.3902,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Atchison_County_MO.csv"
"Audrain County, MO",1992,39.2013011538462,-91.8040792307692,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Audrain_County_MO.csv"
"Audrain County, MO",1993,39.2013011538462,-91.8040792307692,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Audrain_County_MO.csv"
