"county","year","latitude","longitude","rate","county_filename"
"Adams County, MS",1992,31.5117635,-91.219185,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",1993,31.5117635,-91.219185,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",1994,31.5117635,-91.219185,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",1995,31.5117635,-91.219185,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",1996,31.5117635,-91.219185,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",1997,31.5117635,-91.219185,9.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",1998,31.5117635,-91.219185,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",1999,31.5117635,-91.219185,9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2000,31.5117635,-91.219185,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2001,31.5117635,-91.219185,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2002,31.5117635,-91.219185,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2003,31.5117635,-91.219185,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2004,31.5117635,-91.219185,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2005,31.5117635,-91.219185,9.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2006,31.5117635,-91.219185,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2007,31.5117635,-91.219185,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2008,31.5117635,-91.219185,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2009,31.5117635,-91.219185,9.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2010,31.5117635,-91.219185,11,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Adams County, MS",2011,31.5117635,-91.219185,10.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_MS.csv"
"Alcorn County, MS",1992,34.865367,-88.537652,9.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",1993,34.865367,-88.537652,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",1994,34.865367,-88.537652,8.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",1995,34.865367,-88.537652,9.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",1996,34.865367,-88.537652,10.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",1997,34.865367,-88.537652,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",1998,34.865367,-88.537652,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",1999,34.865367,-88.537652,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2000,34.865367,-88.537652,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2001,34.865367,-88.537652,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2002,34.865367,-88.537652,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2003,34.865367,-88.537652,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2004,34.865367,-88.537652,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2005,34.865367,-88.537652,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2006,34.865367,-88.537652,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2007,34.865367,-88.537652,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2008,34.865367,-88.537652,7.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2009,34.865367,-88.537652,11.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2010,34.865367,-88.537652,11.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Alcorn County, MS",2011,34.865367,-88.537652,11.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alcorn_County_MS.csv"
"Amite County, MS",1992,31.2173237777778,-90.7705422222222,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",1993,31.2173237777778,-90.7705422222222,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",1994,31.2173237777778,-90.7705422222222,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",1995,31.2173237777778,-90.7705422222222,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",1996,31.2173237777778,-90.7705422222222,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",1997,31.2173237777778,-90.7705422222222,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",1998,31.2173237777778,-90.7705422222222,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",1999,31.2173237777778,-90.7705422222222,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2000,31.2173237777778,-90.7705422222222,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2001,31.2173237777778,-90.7705422222222,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2002,31.2173237777778,-90.7705422222222,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2003,31.2173237777778,-90.7705422222222,8.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2004,31.2173237777778,-90.7705422222222,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2005,31.2173237777778,-90.7705422222222,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2006,31.2173237777778,-90.7705422222222,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2007,31.2173237777778,-90.7705422222222,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2008,31.2173237777778,-90.7705422222222,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2009,31.2173237777778,-90.7705422222222,10.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2010,31.2173237777778,-90.7705422222222,12.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Amite County, MS",2011,31.2173237777778,-90.7705422222222,11.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Amite_County_MS.csv"
"Attala County, MS",1992,33.098804,-89.6033733333333,12.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Attala_County_MS.csv"
"Attala County, MS",1993,33.098804,-89.6033733333333,11.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Attala_County_MS.csv"
"Attala County, MS",1994,33.098804,-89.6033733333333,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Attala_County_MS.csv"
