"county","year","latitude","longitude","rate","county_filename"
"Alamance County, NC",1992,36.017433,-79.4110130833333,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",1993,36.017433,-79.4110130833333,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",1994,36.017433,-79.4110130833333,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",1995,36.017433,-79.4110130833333,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",1996,36.017433,-79.4110130833333,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",1997,36.017433,-79.4110130833333,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",1998,36.017433,-79.4110130833333,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",1999,36.017433,-79.4110130833333,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2000,36.017433,-79.4110130833333,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2001,36.017433,-79.4110130833333,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2002,36.017433,-79.4110130833333,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2003,36.017433,-79.4110130833333,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2004,36.017433,-79.4110130833333,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2005,36.017433,-79.4110130833333,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2006,36.017433,-79.4110130833333,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2007,36.017433,-79.4110130833333,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2008,36.017433,-79.4110130833333,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2009,36.017433,-79.4110130833333,11.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2010,36.017433,-79.4110130833333,11.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alamance County, NC",2011,36.017433,-79.4110130833333,10.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alamance_County_NC.csv"
"Alexander County, NC",1992,35.90138975,-81.1315275,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alexander_County_NC.csv"
"Alexander County, NC",1993,35.90138975,-81.1315275,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Alexander_County_NC.csv"
