"county","year","latitude","longitude","rate","county_filename"
"Adams County, ND",1992,46.2249963333333,-102.423431666667,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",1993,46.2249963333333,-102.423431666667,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",1994,46.2249963333333,-102.423431666667,2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",1995,46.2249963333333,-102.423431666667,1.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",1996,46.2249963333333,-102.423431666667,1.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",1997,46.2249963333333,-102.423431666667,2.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",1998,46.2249963333333,-102.423431666667,2.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",1999,46.2249963333333,-102.423431666667,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2000,46.2249963333333,-102.423431666667,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2001,46.2249963333333,-102.423431666667,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2002,46.2249963333333,-102.423431666667,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2003,46.2249963333333,-102.423431666667,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2004,46.2249963333333,-102.423431666667,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2005,46.2249963333333,-102.423431666667,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2006,46.2249963333333,-102.423431666667,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2007,46.2249963333333,-102.423431666667,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2008,46.2249963333333,-102.423431666667,2.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2009,46.2249963333333,-102.423431666667,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2010,46.2249963333333,-102.423431666667,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Adams County, ND",2011,46.2249963333333,-102.423431666667,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_ND.csv"
"Barnes County, ND",1992,46.9077047368421,-98.0393695789474,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",1993,46.9077047368421,-98.0393695789474,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",1994,46.9077047368421,-98.0393695789474,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",1995,46.9077047368421,-98.0393695789474,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",1996,46.9077047368421,-98.0393695789474,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",1997,46.9077047368421,-98.0393695789474,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",1998,46.9077047368421,-98.0393695789474,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",1999,46.9077047368421,-98.0393695789474,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
"Barnes County, ND",2000,46.9077047368421,-98.0393695789474,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Barnes_County_ND.csv"
