"county","year","latitude","longitude","rate","county_filename"
"Belknap County, NH",1992,43.5162202,-71.4168214,8.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",1993,43.5162202,-71.4168214,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",1994,43.5162202,-71.4168214,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",1995,43.5162202,-71.4168214,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",1996,43.5162202,-71.4168214,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",1997,43.5162202,-71.4168214,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",1998,43.5162202,-71.4168214,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",1999,43.5162202,-71.4168214,2.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2000,43.5162202,-71.4168214,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2001,43.5162202,-71.4168214,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2002,43.5162202,-71.4168214,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2003,43.5162202,-71.4168214,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2004,43.5162202,-71.4168214,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2005,43.5162202,-71.4168214,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2006,43.5162202,-71.4168214,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2007,43.5162202,-71.4168214,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2008,43.5162202,-71.4168214,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2009,43.5162202,-71.4168214,6.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2010,43.5162202,-71.4168214,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Belknap County, NH",2011,43.5162202,-71.4168214,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Belknap_County_NH.csv"
"Carroll County, NH",1992,43.831595137931,-71.1886201034483,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",1993,43.831595137931,-71.1886201034483,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",1994,43.831595137931,-71.1886201034483,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",1995,43.831595137931,-71.1886201034483,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",1996,43.831595137931,-71.1886201034483,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",1997,43.831595137931,-71.1886201034483,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",1998,43.831595137931,-71.1886201034483,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",1999,43.831595137931,-71.1886201034483,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2000,43.831595137931,-71.1886201034483,2.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2001,43.831595137931,-71.1886201034483,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2002,43.831595137931,-71.1886201034483,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2003,43.831595137931,-71.1886201034483,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2004,43.831595137931,-71.1886201034483,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2005,43.831595137931,-71.1886201034483,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2006,43.831595137931,-71.1886201034483,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2007,43.831595137931,-71.1886201034483,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2008,43.831595137931,-71.1886201034483,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2009,43.831595137931,-71.1886201034483,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2010,43.831595137931,-71.1886201034483,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Carroll County, NH",2011,43.831595137931,-71.1886201034483,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Carroll_County_NH.csv"
"Cheshire County, NH",1992,42.9327333076923,-72.2551795769231,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cheshire_County_NH.csv"
"Cheshire County, NH",1993,42.9327333076923,-72.2551795769231,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cheshire_County_NH.csv"
"Cheshire County, NH",1994,42.9327333076923,-72.2551795769231,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cheshire_County_NH.csv"
"Cheshire County, NH",1995,42.9327333076923,-72.2551795769231,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cheshire_County_NH.csv"
"Cheshire County, NH",1996,42.9327333076923,-72.2551795769231,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cheshire_County_NH.csv"
"Cheshire County, NH",1997,42.9327333076923,-72.2551795769231,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cheshire_County_NH.csv"
"Cheshire County, NH",1998,42.9327333076923,-72.2551795769231,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Cheshire_County_NH.csv"
