"county","year","latitude","longitude","rate","county_filename"
"Bernalillo County, NM",1992,35.09908748,-106.58489552,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",1993,35.09908748,-106.58489552,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",1994,35.09908748,-106.58489552,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",1995,35.09908748,-106.58489552,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",1996,35.09908748,-106.58489552,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",1997,35.09908748,-106.58489552,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",1998,35.09908748,-106.58489552,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",1999,35.09908748,-106.58489552,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2000,35.09908748,-106.58489552,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2001,35.09908748,-106.58489552,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2002,35.09908748,-106.58489552,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2003,35.09908748,-106.58489552,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2004,35.09908748,-106.58489552,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2005,35.09908748,-106.58489552,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2006,35.09908748,-106.58489552,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2007,35.09908748,-106.58489552,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2008,35.09908748,-106.58489552,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2009,35.09908748,-106.58489552,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2010,35.09908748,-106.58489552,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Bernalillo County, NM",2011,35.09908748,-106.58489552,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bernalillo_County_NM.csv"
"Catron County, NM",1992,33.8705181111111,-108.299778888889,11.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Catron_County_NM.csv"
"Catron County, NM",1993,33.8705181111111,-108.299778888889,11.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Catron_County_NM.csv"
