"county","year","latitude","longitude","rate","county_filename"
"Baker County, OR",1992,44.7216259166667,-117.667225,9.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",1993,44.7216259166667,-117.667225,9.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",1994,44.7216259166667,-117.667225,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",1995,44.7216259166667,-117.667225,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",1996,44.7216259166667,-117.667225,10.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",1997,44.7216259166667,-117.667225,9.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",1998,44.7216259166667,-117.667225,9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",1999,44.7216259166667,-117.667225,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2000,44.7216259166667,-117.667225,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2001,44.7216259166667,-117.667225,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2002,44.7216259166667,-117.667225,9.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2003,44.7216259166667,-117.667225,9.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2004,44.7216259166667,-117.667225,8.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2005,44.7216259166667,-117.667225,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2006,44.7216259166667,-117.667225,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2007,44.7216259166667,-117.667225,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2008,44.7216259166667,-117.667225,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2009,44.7216259166667,-117.667225,10.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2010,44.7216259166667,-117.667225,10,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Baker County, OR",2011,44.7216259166667,-117.667225,10.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Baker_County_OR.csv"
"Benton County, OR",1992,44.5249575,-123.350623,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_OR.csv"
"Benton County, OR",1993,44.5249575,-123.350623,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_OR.csv"
"Benton County, OR",1994,44.5249575,-123.350623,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_OR.csv"
"Benton County, OR",1995,44.5249575,-123.350623,2.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_OR.csv"
"Benton County, OR",1996,44.5249575,-123.350623,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_OR.csv"
"Benton County, OR",1997,44.5249575,-123.350623,2.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_OR.csv"
"Benton County, OR",1998,44.5249575,-123.350623,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_OR.csv"
