"county","year","latitude","longitude","rate","county_filename"
"Adams County, PA",1992,39.9013800588235,-77.1832923529412,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",1993,39.9013800588235,-77.1832923529412,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",1994,39.9013800588235,-77.1832923529412,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",1995,39.9013800588235,-77.1832923529412,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",1996,39.9013800588235,-77.1832923529412,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",1997,39.9013800588235,-77.1832923529412,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",1998,39.9013800588235,-77.1832923529412,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",1999,39.9013800588235,-77.1832923529412,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2000,39.9013800588235,-77.1832923529412,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2001,39.9013800588235,-77.1832923529412,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2002,39.9013800588235,-77.1832923529412,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2003,39.9013800588235,-77.1832923529412,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2004,39.9013800588235,-77.1832923529412,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2005,39.9013800588235,-77.1832923529412,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2006,39.9013800588235,-77.1832923529412,3.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2007,39.9013800588235,-77.1832923529412,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2008,39.9013800588235,-77.1832923529412,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2009,39.9013800588235,-77.1832923529412,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2010,39.9013800588235,-77.1832923529412,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Adams County, PA",2011,39.9013800588235,-77.1832923529412,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Adams_County_PA.csv"
"Allegheny County, PA",1992,40.4510086785714,-79.9528155089286,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",1993,40.4510086785714,-79.9528155089286,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",1994,40.4510086785714,-79.9528155089286,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",1995,40.4510086785714,-79.9528155089286,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",1996,40.4510086785714,-79.9528155089286,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",1997,40.4510086785714,-79.9528155089286,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",1998,40.4510086785714,-79.9528155089286,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",1999,40.4510086785714,-79.9528155089286,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2000,40.4510086785714,-79.9528155089286,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2001,40.4510086785714,-79.9528155089286,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2002,40.4510086785714,-79.9528155089286,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2003,40.4510086785714,-79.9528155089286,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2004,40.4510086785714,-79.9528155089286,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2005,40.4510086785714,-79.9528155089286,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2006,40.4510086785714,-79.9528155089286,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
"Allegheny County, PA",2007,40.4510086785714,-79.9528155089286,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Allegheny_County_PA.csv"
