"county","year","latitude","longitude","rate","county_filename"
"Bristol County, RI",1992,41.7190726666667,-71.2864866666667,9.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",1993,41.7190726666667,-71.2864866666667,7.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",1994,41.7190726666667,-71.2864866666667,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",1995,41.7190726666667,-71.2864866666667,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",1996,41.7190726666667,-71.2864866666667,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",1997,41.7190726666667,-71.2864866666667,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",1998,41.7190726666667,-71.2864866666667,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",1999,41.7190726666667,-71.2864866666667,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2000,41.7190726666667,-71.2864866666667,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2001,41.7190726666667,-71.2864866666667,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2002,41.7190726666667,-71.2864866666667,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2003,41.7190726666667,-71.2864866666667,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2004,41.7190726666667,-71.2864866666667,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2005,41.7190726666667,-71.2864866666667,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2006,41.7190726666667,-71.2864866666667,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2007,41.7190726666667,-71.2864866666667,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2008,41.7190726666667,-71.2864866666667,6.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2009,41.7190726666667,-71.2864866666667,10,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2010,41.7190726666667,-71.2864866666667,10.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Bristol County, RI",2011,41.7190726666667,-71.2864866666667,9.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bristol_County_RI.csv"
"Kent County, RI",1992,41.6960908888889,-71.5336911111111,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",1993,41.6960908888889,-71.5336911111111,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",1994,41.6960908888889,-71.5336911111111,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",1995,41.6960908888889,-71.5336911111111,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",1996,41.6960908888889,-71.5336911111111,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",1997,41.6960908888889,-71.5336911111111,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",1998,41.6960908888889,-71.5336911111111,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",1999,41.6960908888889,-71.5336911111111,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2000,41.6960908888889,-71.5336911111111,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2001,41.6960908888889,-71.5336911111111,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2002,41.6960908888889,-71.5336911111111,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2003,41.6960908888889,-71.5336911111111,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2004,41.6960908888889,-71.5336911111111,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2005,41.6960908888889,-71.5336911111111,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2006,41.6960908888889,-71.5336911111111,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2007,41.6960908888889,-71.5336911111111,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2008,41.6960908888889,-71.5336911111111,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2009,41.6960908888889,-71.5336911111111,10.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2010,41.6960908888889,-71.5336911111111,11.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Kent County, RI",2011,41.6960908888889,-71.5336911111111,10.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Kent_County_RI.csv"
"Newport County, RI",1992,41.559691125,-71.2713185,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Newport_County_RI.csv"
"Newport County, RI",1993,41.559691125,-71.2713185,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Newport_County_RI.csv"
"Newport County, RI",1994,41.559691125,-71.2713185,7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Newport_County_RI.csv"
