"county","year","latitude","longitude","rate","county_filename"
"Anderson County, TN",1992,36.1079288,-84.149639,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",1993,36.1079288,-84.149639,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",1994,36.1079288,-84.149639,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",1995,36.1079288,-84.149639,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",1996,36.1079288,-84.149639,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",1997,36.1079288,-84.149639,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",1998,36.1079288,-84.149639,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",1999,36.1079288,-84.149639,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2000,36.1079288,-84.149639,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2001,36.1079288,-84.149639,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2002,36.1079288,-84.149639,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2003,36.1079288,-84.149639,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2004,36.1079288,-84.149639,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2005,36.1079288,-84.149639,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2006,36.1079288,-84.149639,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2007,36.1079288,-84.149639,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2008,36.1079288,-84.149639,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2009,36.1079288,-84.149639,9.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2010,36.1079288,-84.149639,9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Anderson County, TN",2011,36.1079288,-84.149639,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TN.csv"
"Bedford County, TN",1992,35.5138334615385,-86.4806930769231,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",1993,35.5138334615385,-86.4806930769231,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",1994,35.5138334615385,-86.4806930769231,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",1995,35.5138334615385,-86.4806930769231,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",1996,35.5138334615385,-86.4806930769231,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",1997,35.5138334615385,-86.4806930769231,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",1998,35.5138334615385,-86.4806930769231,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",1999,35.5138334615385,-86.4806930769231,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2000,35.5138334615385,-86.4806930769231,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2001,35.5138334615385,-86.4806930769231,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2002,35.5138334615385,-86.4806930769231,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2003,35.5138334615385,-86.4806930769231,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2004,35.5138334615385,-86.4806930769231,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2005,35.5138334615385,-86.4806930769231,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2006,35.5138334615385,-86.4806930769231,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2007,35.5138334615385,-86.4806930769231,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2008,35.5138334615385,-86.4806930769231,6.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2009,35.5138334615385,-86.4806930769231,12.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2010,35.5138334615385,-86.4806930769231,11.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Bedford County, TN",2011,35.5138334615385,-86.4806930769231,10.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bedford_County_TN.csv"
"Benton County, TN",1992,36.0171813333333,-88.0841933333333,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",1993,36.0171813333333,-88.0841933333333,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",1994,36.0171813333333,-88.0841933333333,7.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",1995,36.0171813333333,-88.0841933333333,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",1996,36.0171813333333,-88.0841933333333,11.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",1997,36.0171813333333,-88.0841933333333,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",1998,36.0171813333333,-88.0841933333333,8.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",1999,36.0171813333333,-88.0841933333333,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2000,36.0171813333333,-88.0841933333333,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2001,36.0171813333333,-88.0841933333333,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2002,36.0171813333333,-88.0841933333333,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2003,36.0171813333333,-88.0841933333333,9.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2004,36.0171813333333,-88.0841933333333,8.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2005,36.0171813333333,-88.0841933333333,8.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2006,36.0171813333333,-88.0841933333333,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2007,36.0171813333333,-88.0841933333333,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2008,36.0171813333333,-88.0841933333333,8.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2009,36.0171813333333,-88.0841933333333,13.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2010,36.0171813333333,-88.0841933333333,12.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Benton County, TN",2011,36.0171813333333,-88.0841933333333,11.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Benton_County_TN.csv"
"Bledsoe County, TN",1992,35.5733627777778,-85.0727211111111,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",1993,35.5733627777778,-85.0727211111111,7.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",1994,35.5733627777778,-85.0727211111111,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",1995,35.5733627777778,-85.0727211111111,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",1996,35.5733627777778,-85.0727211111111,5.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",1997,35.5733627777778,-85.0727211111111,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",1998,35.5733627777778,-85.0727211111111,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",1999,35.5733627777778,-85.0727211111111,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2000,35.5733627777778,-85.0727211111111,4.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2001,35.5733627777778,-85.0727211111111,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2002,35.5733627777778,-85.0727211111111,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2003,35.5733627777778,-85.0727211111111,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2004,35.5733627777778,-85.0727211111111,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2005,35.5733627777778,-85.0727211111111,7.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2006,35.5733627777778,-85.0727211111111,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2007,35.5733627777778,-85.0727211111111,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2008,35.5733627777778,-85.0727211111111,8.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2009,35.5733627777778,-85.0727211111111,14,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2010,35.5733627777778,-85.0727211111111,12.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Bledsoe County, TN",2011,35.5733627777778,-85.0727211111111,11.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bledsoe_County_TN.csv"
"Blount County, TN",1992,35.7609797692308,-83.9493553846154,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Blount_County_TN.csv"
"Blount County, TN",1993,35.7609797692308,-83.9493553846154,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Blount_County_TN.csv"
"Blount County, TN",1994,35.7609797692308,-83.9493553846154,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Blount_County_TN.csv"
"Blount County, TN",1995,35.7609797692308,-83.9493553846154,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Blount_County_TN.csv"
"Blount County, TN",1996,35.7609797692308,-83.9493553846154,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Blount_County_TN.csv"
