"county","year","latitude","longitude","rate","county_filename"
"Anderson County, TX",1992,31.8278316,-95.6653507,7.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",1993,31.8278316,-95.6653507,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",1994,31.8278316,-95.6653507,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",1995,31.8278316,-95.6653507,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",1996,31.8278316,-95.6653507,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",1997,31.8278316,-95.6653507,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",1998,31.8278316,-95.6653507,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",1999,31.8278316,-95.6653507,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2000,31.8278316,-95.6653507,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2001,31.8278316,-95.6653507,6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2002,31.8278316,-95.6653507,7.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2003,31.8278316,-95.6653507,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2004,31.8278316,-95.6653507,7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2005,31.8278316,-95.6653507,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2006,31.8278316,-95.6653507,5.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2007,31.8278316,-95.6653507,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2008,31.8278316,-95.6653507,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
"Anderson County, TX",2009,31.8278316,-95.6653507,8.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Anderson_County_TX.csv"
