"county","year","latitude","longitude","rate","county_filename"
"Beaver County, UT",1992,38.203441,-113.08855,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",1993,38.203441,-113.08855,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",1994,38.203441,-113.08855,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",1995,38.203441,-113.08855,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",1996,38.203441,-113.08855,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",1997,38.203441,-113.08855,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",1998,38.203441,-113.08855,4.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",1999,38.203441,-113.08855,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",2000,38.203441,-113.08855,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",2001,38.203441,-113.08855,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",2002,38.203441,-113.08855,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",2003,38.203441,-113.08855,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",2004,38.203441,-113.08855,4.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",2005,38.203441,-113.08855,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
"Beaver County, UT",2006,38.203441,-113.08855,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Beaver_County_UT.csv"
