"county","year","latitude","longitude","rate","county_filename"
"Addison County, VT",1992,44.0322814736842,-73.1161582105263,7.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",1993,44.0322814736842,-73.1161582105263,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",1994,44.0322814736842,-73.1161582105263,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",1995,44.0322814736842,-73.1161582105263,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",1996,44.0322814736842,-73.1161582105263,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",1997,44.0322814736842,-73.1161582105263,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",1998,44.0322814736842,-73.1161582105263,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",1999,44.0322814736842,-73.1161582105263,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2000,44.0322814736842,-73.1161582105263,2.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2001,44.0322814736842,-73.1161582105263,3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2002,44.0322814736842,-73.1161582105263,3.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2003,44.0322814736842,-73.1161582105263,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2004,44.0322814736842,-73.1161582105263,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2005,44.0322814736842,-73.1161582105263,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2006,44.0322814736842,-73.1161582105263,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2007,44.0322814736842,-73.1161582105263,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2008,44.0322814736842,-73.1161582105263,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2009,44.0322814736842,-73.1161582105263,6.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2010,44.0322814736842,-73.1161582105263,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Addison County, VT",2011,44.0322814736842,-73.1161582105263,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Addison_County_VT.csv"
"Bennington County, VT",1992,43.0448126842105,-73.0599536842105,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",1993,43.0448126842105,-73.0599536842105,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",1994,43.0448126842105,-73.0599536842105,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",1995,43.0448126842105,-73.0599536842105,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",1996,43.0448126842105,-73.0599536842105,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",1997,43.0448126842105,-73.0599536842105,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",1998,43.0448126842105,-73.0599536842105,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",1999,43.0448126842105,-73.0599536842105,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2000,43.0448126842105,-73.0599536842105,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2001,43.0448126842105,-73.0599536842105,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2002,43.0448126842105,-73.0599536842105,4.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2003,43.0448126842105,-73.0599536842105,4.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2004,43.0448126842105,-73.0599536842105,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2005,43.0448126842105,-73.0599536842105,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2006,43.0448126842105,-73.0599536842105,3.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2007,43.0448126842105,-73.0599536842105,4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2008,43.0448126842105,-73.0599536842105,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2009,43.0448126842105,-73.0599536842105,8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2010,43.0448126842105,-73.0599536842105,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Bennington County, VT",2011,43.0448126842105,-73.0599536842105,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Bennington_County_VT.csv"
"Caledonia County, VT",1992,44.46861575,-72.0926598,7.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",1993,44.46861575,-72.0926598,7.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",1994,44.46861575,-72.0926598,6.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",1995,44.46861575,-72.0926598,6.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",1996,44.46861575,-72.0926598,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",1997,44.46861575,-72.0926598,5.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",1998,44.46861575,-72.0926598,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",1999,44.46861575,-72.0926598,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2000,44.46861575,-72.0926598,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2001,44.46861575,-72.0926598,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2002,44.46861575,-72.0926598,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2003,44.46861575,-72.0926598,5.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2004,44.46861575,-72.0926598,4.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2005,44.46861575,-72.0926598,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2006,44.46861575,-72.0926598,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2007,44.46861575,-72.0926598,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2008,44.46861575,-72.0926598,5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2009,44.46861575,-72.0926598,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2010,44.46861575,-72.0926598,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Caledonia County, VT",2011,44.46861575,-72.0926598,6.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Caledonia_County_VT.csv"
"Chittenden County, VT",1992,44.4459683,-73.09085485,4.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",1993,44.4459683,-73.09085485,3.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",1994,44.4459683,-73.09085485,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",1995,44.4459683,-73.09085485,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",1996,44.4459683,-73.09085485,2.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",1997,44.4459683,-73.09085485,2.6,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",1998,44.4459683,-73.09085485,2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",1999,44.4459683,-73.09085485,1.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2000,44.4459683,-73.09085485,2.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2001,44.4459683,-73.09085485,2.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2002,44.4459683,-73.09085485,3.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2003,44.4459683,-73.09085485,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2004,44.4459683,-73.09085485,3.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2005,44.4459683,-73.09085485,3.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2006,44.4459683,-73.09085485,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2007,44.4459683,-73.09085485,3.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2008,44.4459683,-73.09085485,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2009,44.4459683,-73.09085485,5.8,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2010,44.4459683,-73.09085485,5.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Chittenden County, VT",2011,44.4459683,-73.09085485,4.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Chittenden_County_VT.csv"
"Essex County, VT",1992,44.6862907272727,-71.7398241818182,9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",1993,44.6862907272727,-71.7398241818182,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",1994,44.6862907272727,-71.7398241818182,6.3,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",1995,44.6862907272727,-71.7398241818182,7.4,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",1996,44.6862907272727,-71.7398241818182,8.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",1997,44.6862907272727,-71.7398241818182,6.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",1998,44.6862907272727,-71.7398241818182,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",1999,44.6862907272727,-71.7398241818182,5.7,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",2000,44.6862907272727,-71.7398241818182,3.9,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",2001,44.6862907272727,-71.7398241818182,4.2,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",2002,44.6862907272727,-71.7398241818182,5.5,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
"Essex County, VT",2003,44.6862907272727,-71.7398241818182,5.1,"http://www.stanford.edu/~trevorld/a3/cache/by_county/Essex_County_VT.csv"
