county,state,year,rate,latitude,longitude
Abbeville County,SC,1992,7.5,34.27875938,-82.37544538
Abbeville County,SC,1993,9.1,34.27875938,-82.37544538
Abbeville County,SC,1994,8.1,34.27875938,-82.37544538
Abbeville County,SC,1995,6.4,34.27875938,-82.37544538
Abbeville County,SC,1996,6.4,34.27875938,-82.37544538
Abbeville County,SC,1997,6.4,34.27875938,-82.37544538
Abbeville County,SC,1998,4.6,34.27875938,-82.37544538
Abbeville County,SC,1999,5.4,34.27875938,-82.37544538
Abbeville County,SC,2000,3.6,34.27875938,-82.37544538
Abbeville County,SC,2001,6.6,34.27875938,-82.37544538
Abbeville County,SC,2002,7.9,34.27875938,-82.37544538
Abbeville County,SC,2003,8.8,34.27875938,-82.37544538
Abbeville County,SC,2004,8.2,34.27875938,-82.37544538
Abbeville County,SC,2005,7.8,34.27875938,-82.37544538
Abbeville County,SC,2006,8.7,34.27875938,-82.37544538
Abbeville County,SC,2007,8,34.27875938,-82.37544538
Abbeville County,SC,2008,8,34.27875938,-82.37544538
Abbeville County,SC,2009,14.5,34.27875938,-82.37544538
Abbeville County,SC,2010,13.1,34.27875938,-82.37544538
Abbeville County,SC,2011,11.7,34.27875938,-82.37544538
Acadia Parish,LA,1992,8.8,30.28149633,-92.41479467
Acadia Parish,LA,1993,7.6,30.28149633,-92.41479467
Acadia Parish,LA,1994,7.2,30.28149633,-92.41479467
Acadia Parish,LA,1995,6.9,30.28149633,-92.41479467
Acadia Parish,LA,1996,7,30.28149633,-92.41479467
Acadia Parish,LA,1997,5.5,30.28149633,-92.41479467
Acadia Parish,LA,1998,5.6,30.28149633,-92.41479467
Acadia Parish,LA,1999,6.9,30.28149633,-92.41479467
Acadia Parish,LA,2000,5.4,30.28149633,-92.41479467
Acadia Parish,LA,2001,5.6,30.28149633,-92.41479467
Acadia Parish,LA,2002,6,30.28149633,-92.41479467
Acadia Parish,LA,2003,6.6,30.28149633,-92.41479467
Acadia Parish,LA,2004,5.3,30.28149633,-92.41479467
Acadia Parish,LA,2005,5.7,30.28149633,-92.41479467
